Portfolio,Current Holding,Holding Name,Holding Sector,Holding Quant,Holding Score,Holding Val,Holding Growth,Holding Profit,Holding Mom,Holding Rev,Holding Analyst,Holding Upside,Holding FSI,Alt Ticker,Alt Name,Alt Quant,Alt Score,Alt Val,Alt Growth,Alt Profit,Alt Mom,Alt Rev,Alt Analyst,Alt Upside,Alt Div Yield,Alt FSI,Score Diff
Power,SKYW,"SkyWest, Inc.",Industrials,Hold,2.83,A,B-,B-,C-,C-,Strong Buy,+43.4%,,FIX,"Comfort Systems USA, Inc.",Buy,3.72,D+,A,B+,A+,B-,None,+23.5%,16.0%,FSI-SM,0.89
Power,SKYW,"SkyWest, Inc.",Industrials,Hold,2.83,A,B-,B-,C-,C-,Strong Buy,+43.4%,,FTAI,FTAI Aviation Ltd.,Buy,3.95,D+,A,A,A,A-,Strong Buy,+40.9%,57.0%,,1.13
Power,SKYW,"SkyWest, Inc.",Industrials,Hold,2.83,A,B-,B-,C-,C-,Strong Buy,+43.4%,,VRT,Vertiv Holdings Co,Buy,3.91,D,A,A-,A+,A-,Strong Buy,+0.9%,9.0%,,1.09
Power,PPC,Pilgrim's Pride Corporation,Consumer Defensive,Hold,2.64,A-,C,B-,C,D,None,+24.3%,,COKE,"Coca-Cola Consolidated, Inc.",Buy,3.95,B-,B,B+,A+,A,None,N/A,48.0%,,1.31
Power,PPC,Pilgrim's Pride Corporation,Consumer Defensive,Hold,2.64,A-,C,B-,C,D,None,+24.3%,,MNST,Monster Beverage Corporation,Hold,3.40,D,A,A,B+,C+,Buy,+13.2%,0.0%,FSI-LC|FSI-UP,0.76
Power,PPC,Pilgrim's Pride Corporation,Consumer Defensive,Hold,2.64,A-,C,B-,C,D,None,+24.3%,,BG,Bunge Global SA,Hold,3.36,B-,B-,D+,A+,B+,Strong Buy,+4.6%,228.0%,FSI-UP,0.72
Power,ATI,ATI Inc.,Industrials,Hold,3.14,C-,C-,B,A+,B,Strong Buy,+9.3%,,FIX,"Comfort Systems USA, Inc.",Buy,3.72,D+,A,B+,A+,B-,None,+23.5%,16.0%,FSI-SM,0.58
Power,ATI,ATI Inc.,Industrials,Hold,3.14,C-,C-,B,A+,B,Strong Buy,+9.3%,,FTAI,FTAI Aviation Ltd.,Buy,3.95,D+,A,A,A,A-,Strong Buy,+40.9%,57.0%,,0.81
Power,ATI,ATI Inc.,Industrials,Hold,3.14,C-,C-,B,A+,B,Strong Buy,+9.3%,,VRT,Vertiv Holdings Co,Buy,3.91,D,A,A-,A+,A-,Strong Buy,+0.9%,9.0%,,0.77
Power,CCL,Carnival Corporation & plc,Consumer Cyclical,Hold,3.24,B,B+,B+,C,B-,Buy,+57.6%,,TPR,"Tapestry, Inc.",Buy,3.92,D+,A,A,A+,A-,Buy,+12.3%,110.0%,,0.69
Power,CCL,Carnival Corporation & plc,Consumer Cyclical,Hold,3.24,B,B+,B+,C,B-,Buy,+57.6%,,HAS,"Hasbro, Inc.",Buy,3.85,C-,A,B,A,A,Buy,+19.5%,297.0%,,0.61
