ticker,name,sector,industry,quant_rating,quant_score,val_grade,growth_grade,profit_grade,mom_grade,rev_grade,val_s,growth_s,profit_s,mom_s,rev_s,analyst_label,num_analysts,upside,div_yield,price,market_cap,pe_ttm,pe_fwd,rev_growth,earn_growth,roe,net_margin,mom_3m,mom_6m,mom_12m
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,Hold,2.5283061867982504,B-,C,B+,C,D+,46.6900873241802,27.33566646378576,74.641627543036,26.291079812206572,12.676056338028168,Buy,5,24.311228451622924,0.0,6439.0,18283102208.0,14.757517,14.259293,-0.05,-0.131,0.33185002,0.12836,-14.196662751847066,-24.53984837324663,
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,Hold,2.527996755548129,B-,B-,B-,C-,C-,50.075789405243235,49.17656868876381,46.76273221727767,21.487603305785125,24.166666666666668,Buy,21,23.456790123456784,4.76,25.11,15392948224.0,26.156252,35.066895,0.043,0.024,0.060939997,0.21632999,-4.121646455303029,-16.253512154555093,
IART,Integra LifeSciences Holdings Corporation,Healthcare,Medical Devices,Hold,2.5279305109139827,A,D+,C,D,B+,92.36342511877533,11.016949152542372,28.4093567251462,5.027932960893855,70.55555555555556,Hold,8,62.213740458015266,0.0,9.17,714684224.0,,3.5974326,-0.017,,-0.39902002,-0.31584,-32.869691783069385,-40.723982923620184,
PJT,PJT Partners Inc.,Financial Services,Capital Markets,Hold,2.526833575762973,C-,B-,B+,D+,B-,24.176095767297234,52.208835341365464,68.4631683007333,9.0,46.34146341463415,Hold,5,34.211545912437025,0.77,129.05,5128369664.0,19.318863,15.020242,0.116,,0.32422,0.105170004,-26.97092236826255,-30.730715684744037,
JEF,Jefferies Financial Group Inc.,Financial Services,Capital Markets,Hold,2.521003862654565,A-,C-,C,F,B+,78.68393244542264,22.551745443311706,31.65200006503748,1.4,73.98373983739837,Buy,6,86.47048861743474,4.44,36.02,7439885312.0,12.6385975,7.7462363,0.057,-0.093,0.06579,0.09675,-41.30646158547315,-45.58840021570036,
IT,"Gartner, Inc.",Technology,Information Technology Services,Hold,2.519708204264613,B,C-,B+,D+,C,63.935209588989935,16.403714388748647,73.15662829008257,13.478176080558807,26.160337552742618,None,13,18.60111463976586,0.0,160.59,11574867968.0,16.624224,11.067806,0.022,-0.342,0.86861,0.11224,-30.44438816539765,-33.39830654776219,
GDYN,"Grid Dynamics Holdings, Inc.",Technology,Information Technology Services,Hold,2.519116258420129,B+,D+,C-,C-,B+,74.30615517872283,13.295618463757664,17.91840965461074,23.191681735985533,73.83966244725738,Strong Buy,5,64.59627329192546,0.0,6.44,546145472.0,37.882355,12.1877365,0.059,-0.997,0.01824,0.02348,-35.98409809762837,-17.010311726138173,
AGYS,"Agilysys, Inc.",Technology,Software - Application,Hold,2.5189610031214897,C-,A-,B-,D,B-,22.380950578006335,75.61530833032816,47.57450116610521,7.591390986774456,46.41350210970464,Strong Buy,5,97.28377412437455,0.0,69.95,1966171904.0,65.373825,32.17142,0.156,1.528,0.106759995,0.09793,-44.27626807916726,-35.85511412888268,
EQR,Equity Residential,Real Estate,REIT - Residential,Hold,2.5134140824330697,C+,C,B,C,C-,42.49079137038208,34.95934959349593,59.67083421628877,32.64462809917355,15.0,Buy,21,16.223029699684744,4.6,60.27,23634190336.0,20.5,40.05556,0.02,-0.088,0.100200005,0.36202,0.44489110864722736,-7.915979916086224,
CPNG,"Coupang, Inc.",Consumer Cyclical,Internet Retail,Hold,2.5129180358963756,C-,A-,C-,D,A,16.17960339882645,76.17924528301887,19.9366569789105,5.39906103286385,93.42723004694837,Buy,17,47.09056094929882,0.0,18.54,33894674432.0,168.54547,31.699354,0.109,,0.048639998,0.00602,-28.85648357656421,-42.86594895500221,
CLSK,"CleanSpark, Inc.",Financial Services,Capital Markets,Hold,2.5127588115432005,B-,B-,C-,C-,B,46.104417670682736,52.208835341365464,15.525500869876264,22.400000000000002,63.00813008130082,Strong Buy,13,100.96659685863871,0.0,9.55,2442440448.0,,-16.186441,0.116,,-0.15338,-0.33245,-34.27391482789,-6.372547268821616,
